d_admdong_cd,d_gu_name,d_admdong_name,residential_filter,candidate_type,adjusted_mobility_score,mobility_score,residential_dominance_score,cnt_2030,avg_daily_2030,date_count,share_2030,young_single_households,young_single_ratio,young_homebound_ratio,origin_diversity,evening_2030_ratio,avg_move_time_2030,morning_2030_ratio,afternoon_2030_ratio,late_night_2030_ratio,weekday_2030_ratio,friday_2030_ratio,weekend_2030_ratio,avg_move_dist_2030,total_cnt,d_center_x,d_center_y,weighted_move_time_2030,weighted_move_dist_2030,evening_2030_cnt,morning_2030_cnt,afternoon_2030_cnt,late_night_2030_cnt,weekday_2030_cnt,friday_2030_cnt,weekend_2030_cnt,row_count,active_days,d_gu_cd,d_area_sqm,gu_name,admdong_name,living_admdong_cd,young_population,young_low_weekend_outing_group,young_very_low_outing_group,residential_match_note,residential_penalty,visit_pattern_type,commercial_zone_ratio,residential_zone_ratio,total_sales,sales_per_store,food_sales_ratio,daytime_influx_ratio,commercial_potential_score
11545700,금천구,시흥4동,방문성 검토,관찰 필요,0.12764512111562953,0.12764512111562953,-1.8377352049239961,107801.76,3593.392,30,0.20999744091712294,448.22,0.08115516929205142,0.04852616331703784,534,0.21222640520896877,42.56051506023649,0.012605081772319858,0.3121520464972001,0.07270335846093792,0.6139423883246433,0.1385963457368414,0.24746126593851528,8489.021617179535,513347.97,191976.0,440076.0,4588098.43,915131471.01,22878.38,1358.85,33650.54,7837.549999999999,66184.06999999999,14940.93,26676.76,68672,30,11545,821709.0,금천구,시흥4동,1118060,5523.0,38.949999999999996,229.06,매칭,0.0,불명확,0.0,0.0,0.0,0.0,0.0,1.0,0.12764512111562953
11440600,마포구,대흥동,2030 자취/거주성 높음,관찰 필요,0.12535694145541587,2.898383264886679,3.9614661763303767,771617.7,25720.59,30,0.4449127837860479,3682.0,0.4832020997375328,0.07869553805774279,635,0.10155446149045053,37.63511824573231,0.026011689467465564,0.4292520376346992,0.044157618468316624,0.6566086029389944,0.14240812516353632,0.20098327189746945,7409.504112476943,1734312.27,194833.0,450283.0,29039923.38,5717304521.41,78361.22,20071.08,331218.47000000003,34072.799999999996,506650.82,109884.63,155082.25,235391,30,11440,858570.0,마포구,대흥동,1114060,7620.0,413.42,186.24,매칭,3.9614661763303767,생활 밀착형,0.0,0.0,0.0,0.0,0.0,1.0,0.12535694145541587
11305608,강북구,번3동,방문성 검토,관찰 필요,-0.37575755478034056,-0.37575755478034056,-3.0592796412587213,108092.35,3603.0783333333334,30,0.2003050931035227,258.17,0.0646232790988736,0.02863329161451815,540,0.18238487737568845,42.003214936117125,0.020800361912753307,0.3361786472400683,0.08939911103792267,0.6019446334546339,0.13799662973374158,0.2600587368116245,7538.464064015631,539638.55,203724.0,458233.0,4540226.21,814850296.07,19714.41,2248.36,36338.34,9663.36,65065.61,14916.380000000001,28110.36,86712,30,11305,1081177.0,강북구,번3동,1109062,3995.0,29.240000000000002,85.15,매칭,0.0,목적 방문형,0.0,0.0,0.0,0.0,0.0,1.0,0.12424244521965944
11110600,종로구,가회동,2030 자취/거주성 높음,소규모 2030 집중형,0.11405224628244498,0.515619483593684,0.5736674818731987,249330.58,8311.019333333334,30,0.38915032136627725,379.88,0.3556928838951311,0.07855805243445693,619,0.027085125298308775,53.19561563607641,0.06957128965087235,0.5224264107515413,0.03241255043805698,0.5543600788960584,0.14463075487972638,0.30100916622421525,11152.543565374132,640705.06,198812.0,453662.0,13263293.7,2780670155.63,6753.15,17346.25,130256.88,8081.44,138218.92,36060.87,75050.79,127663,30,11110,539955.0,종로구,가회동,1101060,1068.0,25.34,58.56,매칭,0.5736674818731987,불명확,0.0,0.0,0.0,0.0,0.0,1.0,0.11405224628244498
11710561,송파구,방이1동,방문성 검토,관찰 필요,0.10758057720120096,0.10758057720120096,-1.1459100147821542,226514.96,7550.498666666666,30,0.23078268808904473,701.84,0.15662575318009372,0.03598527114483374,604,0.1402476904836661,40.10587737781204,0.024603893711920836,0.38051835516735855,0.05020957556180837,0.5896346095639776,0.14634998059289328,0.26401540984312916,8710.324663148078,981507.59,210827.0,445605.0,9084581.209999999,1973018842.66,31768.2,5573.15,86193.1,11373.22,133561.06,33150.46,59803.44,139790,30,11710,609259.0,송파구,방이1동,1124057,4481.0,62.17,99.08000000000001,매칭,0.0,불명확,0.0,0.0,0.0,0.0,0.0,1.0,0.10758057720120096
11650660,서초구,내곡동,방문성 검토,관찰 필요,0.101295615488872,0.101295615488872,-1.7420436017587835,312356.46,10411.882000000001,30,0.29183824402649555,573.5,0.12238583013230901,0.030328638497652584,602,0.07724764200490682,40.102488451815596,0.12342264347598253,0.334667514159944,0.062330582181652334,0.6839920006776873,0.1511589995609503,0.16484899976136239,10272.367618617523,1070306.81,206249.0,439607.0,12526271.33,3208640385.17,24128.8,38551.86,104535.56,19469.36,213649.32,47215.49,51491.65,148666,30,11650,12708880.0,서초구,내곡동,1122068,4686.0,35.230000000000004,106.89,매칭,0.0,생활 밀착형,0.0,0.0,0.0,0.0,0.0,1.0,0.101295615488872
11320522,도봉구,도봉2동,방문성 검토,관찰 필요,0.06469102772588764,0.06469102772588764,-2.0764479663773336,213257.33,7108.577666666666,30,0.20299618544012715,567.39,0.08595515830934707,0.027218603241933044,593,0.16666981622624646,41.63721551798478,0.02308563086670925,0.3435257301589587,0.07486828237041138,0.6137423271687777,0.14236031183547126,0.24389736099575102,9851.614552240713,1050548.46,204208.0,464622.0,8879441.41,2100929015.6,35543.56,4923.18,73259.38,15966.210000000001,130885.05,30359.38,52012.9,124883,30,11320,1119031.0,도봉구,도봉2동,1110065,6601.0,77.63,102.04,매칭,0.0,불명확,0.0,0.0,0.0,0.0,0.0,1.0,0.06469102772588764
11740550,강동구,고덕1동,방문성 검토,관찰 필요,-0.4373548560438756,-0.4373548560438756,-3.59998626995331,144047.68,4801.589333333333,30,0.16737768177816917,227.1,0.054512722035525686,0.01542246759481517,540,0.19517454220713587,38.57822590408954,0.02595022703593699,0.33713212180855673,0.07913831031502903,0.6099263105105199,0.13379188057731997,0.25628180891216024,8213.085633590212,860614.62,213336.0,451364.0,5557103.94,1183075931.16,28114.44,3738.0699999999997,48563.1,11399.69,87858.47,19272.41,36916.8,98052,30,11740,1518495.0,강동구,고덕1동,1125055,4166.0,18.41,45.84,매칭,0.0,목적 방문형,0.0,0.0,0.0,0.0,0.0,1.0,0.06264514395612442
11680720,강남구,일원본동,방문성 검토,관찰 필요,0.05873701196426769,0.05873701196426769,-3.1555377758223426,270321.2,9010.706666666667,30,0.22719949856304858,289.73,0.05644457432300799,0.021864406779661016,634,0.12318330933718849,43.12009842365305,0.08564925725396307,0.3489042664800245,0.0627365519241554,0.6455691969405285,0.14684804595422038,0.2075827571052511,12305.200526410803,1189796.64,207478.0,442544.0,11656276.75,3326356572.54,33299.06,23152.81,94316.22,16959.02,174511.04,39696.14,56114.020000000004,179644,30,11680,2354625.0,강남구,일원본동,1123072,5133.0,16.47,95.75999999999999,매칭,0.0,생활 밀착형,0.0,0.0,0.0,0.0,0.0,1.0,0.05873701196426769
11470680,양천구,신정7동,방문성 검토,관찰 필요,0.05746109905100116,0.05746109905100116,-3.182548740601444,222616.78,7420.559333333334,30,0.19091459447325212,329.82,0.0521042654028436,0.016197472353870458,593,0.1747485072778431,37.99568388330835,0.022921857013653686,0.3608619709619374,0.0631796039813351,0.5898432723714718,0.13558838646394938,0.27456834116457884,8048.540700256289,1166054.28,188100.0,445609.0,8458476.8,1791740214.39,38901.95,5102.79,80333.93000000001,14064.84,131309.01,30184.25,61123.52,144335,30,11470,1234130.0,양천구,신정7동,1115070,6330.0,29.439999999999998,73.09,매칭,0.0,불명확,0.0,0.0,0.0,0.0,0.0,1.0,0.05746109905100116
