d_gu_name,bjdong_nm,total_cnt,evening_2030_cnt,morning_2030_cnt,afternoon_2030_cnt,late_night_2030_cnt,weekday_2030_cnt,friday_2030_cnt,weekend_2030_cnt,adjusted_mobility_score,mobility_score,residential_dominance_score,young_single_ratio,young_homebound_ratio,evening_2030_ratio,morning_2030_ratio,afternoon_2030_ratio,late_night_2030_ratio,weekday_2030_ratio,friday_2030_ratio,weekend_2030_ratio,commercial_zone_ratio,residential_zone_ratio,food_sales_ratio,daytime_influx_ratio,commercial_potential_score,bjdong_cd,candidate_type,visit_pattern_type,residential_filter
마포구,망원동,1745665.31,103720.82,7648.58,304981.4,35064.93,364804.64,93376.57,228920.24,2.0006883998931224,2.4523337538522503,0.4619058276160152,0.2439417880898127,0.04335641879307761,0.1591575169115899,0.011796083589497209,0.43291867554275626,0.05320940434411669,0.537448425060711,0.13518157684754206,0.3273699980917469,0.0,0.0,0.0,1.0,2.2506883998931224,11440700,관찰 필요,목적 방문형,방문성 검토
강남구,압구정동,2975818.14,82063.02,39735.18,505066.51,43896.04,694173.14,184729.85,312662.51,2.187542352803131,2.187542352803131,-1.6798804634594113,0.10049937799893371,0.03931224453527635,0.06886991944630824,0.03334703799329537,0.423868020683714,0.0368389652100535,0.582572372227964,0.15503121733551367,0.2623964104365224,0.0,0.0,0.0,1.0,2.187542352803131,11680545,광역 목적지형,불명확,방문성 검토
용산구,용산2가동,510758.91,31618.28,5119.0199999999995,105983.55,13422.97,111914.26,32408.3,88660.3,2.155667665265624,2.8348248595445513,0.9702245632556106,0.3345980290456432,0.04570539419087137,0.13571075571825328,0.021971659202741353,0.454898484806994,0.057613551486147954,0.48035404836218426,0.13910164893675012,0.3805443027010657,0.0,0.0,0.0,1.0,2.155667665265624,11170520,소규모 2030 집중형,불명확,혼재형 (상권+거주)
용산구,용문동,405902.99,26395.739999999998,2206.44,39958.67,7986.91,74627.84,17782.89,33236.54,1.6477279079906726,1.6477279079906726,-0.9164290157288519,0.1910677156504636,0.037316661983703286,0.21007810197547466,0.01756058846324317,0.3180225881549197,0.06356612443708486,0.5939471665401086,0.14153025370149308,0.26452257975839827,0.0,0.0,0.0,1.0,2.1477279079906726,11170590,관찰 필요,목적 방문형,방문성 검토
성동구,행당동,2724066.2600000002,127657.4,26407.690000000002,366540.49999999994,51285.75,594171.36,136577.34,219697.96000000002,1.8864572736760579,1.8864572736760579,-1.4174909885802176,0.14148978477200544,0.03208729030784241,0.16255725289725192,0.02424345702323242,0.35728721600219404,0.06305841806471058,0.6188019589321049,0.14104382317765984,0.24015421789023525,0.0,0.0,0.0,1.0,2.136457273676058,11200560,관찰 필요,생활 밀착형,방문성 검토
마포구,연남동,997585.09,66040.19,8985.45,245775.58000000002,26971.79,282445.43,76697.26,185474.67,2.1192260451462954,4.185287261731547,2.9515160236932174,0.44255233253588516,0.05896082535885167,0.12125979605203918,0.016498647784565664,0.4512812077822859,0.0495242935333534,0.518612609043531,0.14082779146077898,0.34055959949569,0.0,0.0,0.0,1.0,2.1192260451462954,11440710,관찰 필요,불명확,혼재형 (상권+거주)
은평구,갈현동,1865899.61,103054.95999999999,10903.34,173756.05,40000.79,311762.58999999997,77343.79999999999,145963.38,1.612529878144652,1.612529878144652,-0.4232099671325257,0.16307107597907883,0.04570539412102216,0.19279685879640962,0.02045514578941875,0.32444723908161066,0.07490402662465809,0.5829855643155415,0.14445137931392488,0.2725630563705336,0.0,0.0,0.0,1.0,2.112529878144652,11380551,관찰 필요,목적 방문형,방문성 검토
성동구,성수1가동,2501142.38,88163.35,41746.41,469233.86,40321.69,706649.29,173731.36000000002,264976.22000000003,2.0772368787317164,2.4257542160401053,0.4427126116521764,0.2594468605074729,0.04447455586994191,0.07954181724424891,0.03889056499772535,0.40526349423651553,0.03716908773444812,0.6166155049675512,0.15107566188402127,0.23230883314842748,0.0,0.0,0.0,1.0,2.0772368787317164,11200660,광역 목적지형,생활 밀착형,혼재형 (상권+거주)
용산구,원효로동,1379343.5699999998,87696.36,18389.49,156803.2,35885.28,323905.19,74701.78,117730.01000000001,2.069592589440901,2.2519441898065056,-0.4241121854118002,0.21517555039315434,0.03285964577270897,0.17323433719295295,0.0383842796522903,0.297777732257302,0.07066005300370197,0.6305876284091879,0.145107057671941,0.22430531391887115,0.0,0.0,0.0,1.0,2.069592589440901,11170560,관찰 필요,생활 밀착형,방문성 검토
강남구,청담동,2778429.58,87734.61,51174.48,432932.4,61057.0,697836.28,174559.41,259746.21,2.069275391136059,2.35788609556056,0.412301006320716,0.2174990043807248,0.04420815080313288,0.07749435826021456,0.0452014716529792,0.3824011813360146,0.053930518780375504,0.616385878837273,0.15418509817541426,0.22942902298731283,0.0,0.0,0.0,1.0,2.069275391136059,11680565,광역 목적지형,생활 밀착형,방문성 검토
강남구,신사동,2080383.36,64888.92,22378.829999999998,367412.08,27020.36,525787.73,139512.8,205246.03,2.014290045811065,2.2914857201748173,0.39599382051964616,0.26104171468080206,0.048294537911961276,0.07453813843110241,0.025706643421806178,0.4220475927215197,0.03103838581591776,0.6039742779524624,0.16025886082417,0.2357668612233675,0.0,0.0,0.0,1.0,2.014290045811065,11680510,광역 목적지형,불명확,방문성 검토
성동구,송정동,317331.5,23129.260000000002,3280.96,37356.98,11097.53,75891.09,17773.03,26740.0,1.979356059828923,2.1170155264755763,0.19665638092379037,0.2660715332746995,0.04883318674875403,0.19209691495606632,0.027249565878642693,0.310263303282313,0.09216902212316323,0.6303030992627162,0.14761147708234568,0.22208542365493805,0.0,0.0,0.0,1.0,1.979356059828923,11200720,소규모 2030 집중형,생활 밀착형,방문성 검토
마포구,도화동,1208524.31,56383.47,13397.56,148180.29,19419.0,268121.79,66128.12,101553.89,1.9616681087889878,1.9616681087889878,-0.20335465973635192,0.20166450356911095,0.0361404931862427,0.12937810546856177,0.030742182606025924,0.34001605768467374,0.04455904239476572,0.615235089735335,0.15173828222700214,0.23302662803766283,0.0,0.0,0.0,1.0,1.9616681087889878,11440585,관찰 필요,불명확,방문성 검토
강동구,천호동,4027147.42,231401.55000000002,21199.17,417631.92000000004,82592.76000000001,725191.87,171818.72,333153.55,1.6083887556336247,2.0821095656342976,0.48227384597151907,0.21718098065200864,0.04101699482827676,0.19509735137477768,0.017241324847906307,0.33216882093052047,0.0701052618775272,0.5936011432270337,0.1389098782834488,0.2674889784895176,0.0,0.0,0.0,1.0,1.941722088966958,11740620,야간 소비형,목적 방문형,방문성 검토
마포구,염리동,1039865.0599999999,41753.7,10465.69,191618.64,13997.27,235708.03,57011.16,120885.84,1.9176256915234728,1.9746491520474694,0.08146208646285208,0.22640130114706386,0.03813045711350796,0.10095065816776937,0.025303584920135038,0.46328894984666896,0.03384211744233381,0.5698867588723473,0.13783961960037092,0.2922736215272817,0.0,0.0,0.0,1.0,1.9176256915234728,11440610,관찰 필요,불명확,방문성 검토
관악구,미성동,1082442.99,57674.15,7511.24,90747.23,22369.71,177103.9,40076.69,76623.72,1.4084774328183907,1.6452058748192355,0.3381834885726356,0.20503464965350346,0.03885161148388516,0.19630123873948616,0.025565452052081876,0.3088696350302009,0.07613812744952585,0.6027954457169127,0.13640606565642283,0.2607984886266645,0.0,0.0,0.0,1.0,1.9084774328183907,11620765,관찰 필요,목적 방문형,방문성 검토
용산구,후암동,600620.6,35233.72,5330.32,78442.92,12071.83,121378.18000000001,29641.89,57651.86,1.8742578584249021,1.8933989364343995,0.027344397156424866,0.23776067718353214,0.035929203539823006,0.16884743434346922,0.025544020223515446,0.37591505479438464,0.05785076124038341,0.5816698968567551,0.14205020291900305,0.276279900224242,0.0,0.0,0.0,1.0,1.8742578584249021,11170510,관찰 필요,불명확,방문성 검토
성동구,옥수동,1179376.87,57275.95,7305.2,107375.71,23587.39,191258.81,43951.43,83611.53,1.3727370050823908,1.3727370050823908,-1.7014747452537682,0.11087267943283147,0.022610729425522585,0.1796488050361178,0.022913115374775063,0.3367891408419193,0.07398299683236813,0.5998925669348112,0.1378557994957496,0.2622516335694391,0.0,0.0,0.0,1.0,1.8727370050823908,11200645,관찰 필요,목적 방문형,방문성 검토
